Pelajaran Favorit,Minat Utama,Keterampilan Unggulan,Lingkungan Kerja,Tipe Kepribadian,Gaya Belajar,Fakultas
Kimia,Teknik,Kreativitas,Lapangan,Introvert,Kinestetik,SBM
Seni Budaya,Kesehatan,Teknis,Kantor,Introvert,Visual,SAPPK
Biologi,Kesehatan,Analitis,Kantor,Introvert,Auditori,FMIPA
Kimia,Teknologi,Analitis,Remote,Ekstrovert,Auditori,STEI
Seni Budaya,Teknik,Pemecahan masalah,Remote,Introvert,Kinestetik,FMIPA
Fisika,Sains,Pemecahan masalah,Remote,Introvert,Visual,FTTM
Fisika,Teknologi,Kreativitas,Remote,Introvert,Kinestetik,FSRD
Kimia,Teknik,Teknis,Remote,Ekstrovert,Auditori,FTTM
Matematika,Teknik,Teknis,Kantor,Introvert,Visual,STEI
Kimia,Sains,Pemecahan masalah,Lapangan,Introvert,Visual,FTMD
Seni Budaya,Teknologi,Komunikasi,Remote,Introvert,Auditori,FSRD
Seni Budaya,Teknik,Kreativitas,Remote,Introvert,Auditori,FITB
Fisika,Teknik,Teknis,Kantor,Introvert,Auditori,FTMD
Fisika,Seni,Analitis,Lapangan,Ekstrovert,Kinestetik,SF
Biologi,Teknologi,Kreativitas,Kantor,Ekstrovert,Kinestetik,STEI
Seni Budaya,Teknologi,Kreativitas,Lapangan,Introvert,Auditori,FMIPA
Fisika,Seni,Kreativitas,Lapangan,Ekstrovert,Visual,STEI
Fisika,Kesehatan,Teknis,Kantor,Ekstrovert,Kinestetik,SF
Seni Budaya,Kesehatan,Komunikasi,Lapangan,Introvert,Visual,STEI
Matematika,Bisnis,Komunikasi,Lapangan,Introvert,Kinestetik,FMIPA
Matematika,Bisnis,Komunikasi,Remote,Introvert,Visual,STEI
Biologi,Teknik,Komunikasi,Remote,Ekstrovert,Visual,FTI
Seni Budaya,Teknologi,Kreativitas,Remote,Ekstrovert,Kinestetik,FITB
Fisika,Bisnis,Komunikasi,Lapangan,Ekstrovert,Auditori,FTI
Seni Budaya,Seni,Pemecahan masalah,Lapangan,Ekstrovert,Kinestetik,FSRD
Seni Budaya,Teknik,Analitis,Kantor,Ekstrovert,Auditori,SITH
Biologi,Sains,Teknis,Kantor,Ekstrovert,Kinestetik,SITH
Matematika,Seni,Analitis,Kantor,Ekstrovert,Auditori,FITB
Kimia,Seni,Pemecahan masalah,Lapangan,Introvert,Kinestetik,STEI
Kimia,Sains,Analitis,Kantor,Ekstrovert,Visual,FTMD
Kimia,Sains,Analitis,Lapangan,Ekstrovert,Kinestetik,FTTM
Matematika,Teknik,Pemecahan masalah,Kantor,Introvert,Visual,FTTM
Biologi,Sains,Analitis,Remote,Introvert,Visual,FSRD
Kimia,Bisnis,Analitis,Lapangan,Introvert,Kinestetik,FITB
Biologi,Seni,Pemecahan masalah,Remote,Ekstrovert,Kinestetik,FITB
Matematika,Bisnis,Kreativitas,Lapangan,Ekstrovert,Visual,FTI
Biologi,Kesehatan,Komunikasi,Remote,Introvert,Auditori,FSRD
Seni Budaya,Seni,Komunikasi,Lapangan,Ekstrovert,Kinestetik,STEI
Kimia,Teknik,Pemecahan masalah,Lapangan,Ekstrovert,Auditori,FITB
Seni Budaya,Teknologi,Komunikasi,Lapangan,Ekstrovert,Visual,FTTM
Seni Budaya,Seni,Kreativitas,Remote,Introvert,Auditori,SF
Fisika,Kesehatan,Teknis,Lapangan,Introvert,Auditori,SAPPK
Fisika,Kesehatan,Kreativitas,Kantor,Introvert,Auditori,FTTM
Matematika,Sains,Analitis,Remote,Introvert,Visual,FTSL
Seni Budaya,Kesehatan,Pemecahan masalah,Kantor,Introvert,Visual,FTI
Seni Budaya,Bisnis,Pemecahan masalah,Remote,Ekstrovert,Auditori,SAPPK
Fisika,Kesehatan,Komunikasi,Lapangan,Ekstrovert,Visual,SAPPK
Seni Budaya,Teknologi,Analitis,Kantor,Introvert,Visual,SITH
Seni Budaya,Teknologi,Pemecahan masalah,Kantor,Ekstrovert,Kinestetik,SAPPK
Kimia,Kesehatan,Komunikasi,Kantor,Introvert,Auditori,SAPPK
Fisika,Teknik,Pemecahan masalah,Kantor,Ekstrovert,Visual,STEI
Kimia,Kesehatan,Pemecahan masalah,Remote,Ekstrovert,Auditori,FITB
Kimia,Bisnis,Komunikasi,Lapangan,Ekstrovert,Visual,FTTM
Seni Budaya,Kesehatan,Kreativitas,Lapangan,Introvert,Visual,FTTM
Fisika,Teknik,Teknis,Lapangan,Ekstrovert,Auditori,SBM
Kimia,Kesehatan,Kreativitas,Lapangan,Introvert,Visual,FTI
Seni Budaya,Teknik,Kreativitas,Kantor,Introvert,Auditori,STEI
Matematika,Seni,Pemecahan masalah,Lapangan,Introvert,Visual,FITB
Biologi,Teknik,Pemecahan masalah,Remote,Introvert,Kinestetik,FTMD
Biologi,Seni,Kreativitas,Lapangan,Introvert,Auditori,FITB
Kimia,Kesehatan,Teknis,Lapangan,Ekstrovert,Auditori,FSRD
Seni Budaya,Sains,Pemecahan masalah,Remote,Introvert,Visual,FTSL
Fisika,Seni,Pemecahan masalah,Remote,Introvert,Auditori,STEI
Seni Budaya,Sains,Komunikasi,Remote,Ekstrovert,Auditori,FTTM
Fisika,Teknik,Komunikasi,Lapangan,Introvert,Kinestetik,FTI
Fisika,Kesehatan,Teknis,Kantor,Ekstrovert,Visual,FTTM
Seni Budaya,Teknik,Kreativitas,Lapangan,Introvert,Kinestetik,FITB
Kimia,Kesehatan,Teknis,Kantor,Introvert,Visual,SITH
Biologi,Teknik,Pemecahan masalah,Remote,Ekstrovert,Visual,FITB
Fisika,Seni,Kreativitas,Remote,Introvert,Kinestetik,FTSL
Biologi,Bisnis,Komunikasi,Kantor,Ekstrovert,Visual,FTMD
Fisika,Seni,Komunikasi,Remote,Introvert,Visual,SF
Kimia,Seni,Analitis,Remote,Introvert,Visual,FMIPA
Fisika,Kesehatan,Analitis,Lapangan,Ekstrovert,Auditori,FTTM
Matematika,Bisnis,Pemecahan masalah,Kantor,Ekstrovert,Visual,FTTM
Biologi,Teknologi,Analitis,Lapangan,Ekstrovert,Visual,SITH
Matematika,Teknologi,Pemecahan masalah,Kantor,Ekstrovert,Auditori,SAPPK
Fisika,Bisnis,Komunikasi,Lapangan,Ekstrovert,Kinestetik,FITB
Seni Budaya,Teknologi,Teknis,Lapangan,Introvert,Visual,SAPPK
Fisika,Sains,Kreativitas,Lapangan,Introvert,Auditori,SBM
Biologi,Sains,Teknis,Kantor,Ekstrovert,Auditori,SITH
Biologi,Teknik,Komunikasi,Kantor,Ekstrovert,Auditori,FSRD
Biologi,Kesehatan,Kreativitas,Kantor,Introvert,Auditori,FMIPA
Fisika,Bisnis,Pemecahan masalah,Remote,Ekstrovert,Auditori,SAPPK
Fisika,Seni,Analitis,Remote,Ekstrovert,Visual,SF
Fisika,Bisnis,Pemecahan masalah,Remote,Ekstrovert,Auditori,SITH
Kimia,Teknologi,Teknis,Lapangan,Introvert,Visual,SBM
Fisika,Teknologi,Teknis,Remote,Ekstrovert,Kinestetik,SBM
Seni Budaya,Seni,Analitis,Remote,Introvert,Kinestetik,STEI
Matematika,Seni,Kreativitas,Remote,Introvert,Visual,SBM
Fisika,Teknologi,Pemecahan masalah,Lapangan,Introvert,Auditori,SITH
Biologi,Bisnis,Pemecahan masalah,Lapangan,Ekstrovert,Auditori,SF
Biologi,Kesehatan,Komunikasi,Kantor,Introvert,Visual,FTMD
Fisika,Sains,Analitis,Remote,Ekstrovert,Auditori,FTSL
Biologi,Seni,Pemecahan masalah,Remote,Introvert,Auditori,SITH
Fisika,Kesehatan,Kreativitas,Lapangan,Introvert,Visual,FTMD
Seni Budaya,Seni,Kreativitas,Lapangan,Introvert,Kinestetik,SITH
Fisika,Seni,Teknis,Kantor,Introvert,Kinestetik,FTMD
Biologi,Teknologi,Teknis,Kantor,Ekstrovert,Visual,FTMD
Kimia,Teknologi,Komunikasi,Lapangan,Introvert,Visual,FTI
Fisika,Teknik,Pemecahan masalah,Lapangan,Ekstrovert,Auditori,FSRD
Fisika,Sains,Kreativitas,Remote,Introvert,Kinestetik,FMIPA
Biologi,Kesehatan,Pemecahan masalah,Lapangan,Ekstrovert,Kinestetik,FITB
Biologi,Sains,Analitis,Kantor,Introvert,Kinestetik,FTTM
Biologi,Seni,Kreativitas,Remote,Ekstrovert,Visual,SF
Biologi,Teknologi,Komunikasi,Remote,Introvert,Kinestetik,SF
Biologi,Teknik,Pemecahan masalah,Kantor,Ekstrovert,Auditori,SBM
Biologi,Seni,Analitis,Kantor,Ekstrovert,Auditori,SITH
Seni Budaya,Sains,Teknis,Remote,Introvert,Visual,FTI
Biologi,Teknologi,Teknis,Kantor,Ekstrovert,Kinestetik,FTI
Kimia,Teknologi,Analitis,Kantor,Introvert,Kinestetik,FTTM
Fisika,Kesehatan,Teknis,Kantor,Ekstrovert,Visual,FMIPA
Seni Budaya,Teknik,Komunikasi,Kantor,Introvert,Visual,FTTM
Matematika,Bisnis,Komunikasi,Kantor,Ekstrovert,Kinestetik,FTSL
Matematika,Sains,Teknis,Kantor,Ekstrovert,Kinestetik,SBM
Biologi,Bisnis,Analitis,Lapangan,Ekstrovert,Visual,FTI
Biologi,Teknologi,Kreativitas,Kantor,Ekstrovert,Kinestetik,STEI
Seni Budaya,Kesehatan,Komunikasi,Kantor,Introvert,Auditori,FMIPA
Seni Budaya,Sains,Kreativitas,Remote,Introvert,Visual,SBM
Matematika,Teknik,Pemecahan masalah,Remote,Ekstrovert,Auditori,FTI
Kimia,Teknik,Analitis,Remote,Introvert,Visual,SAPPK
Fisika,Kesehatan,Pemecahan masalah,Remote,Introvert,Kinestetik,FTSL
Biologi,Kesehatan,Analitis,Lapangan,Introvert,Kinestetik,STEI
Seni Budaya,Seni,Analitis,Remote,Introvert,Auditori,FITB
Fisika,Sains,Teknis,Lapangan,Ekstrovert,Auditori,FMIPA
Fisika,Teknologi,Komunikasi,Kantor,Introvert,Auditori,SF
Seni Budaya,Seni,Kreativitas,Lapangan,Ekstrovert,Auditori,SAPPK
Matematika,Bisnis,Teknis,Kantor,Ekstrovert,Auditori,SITH
Fisika,Kesehatan,Komunikasi,Lapangan,Ekstrovert,Auditori,FTI
Biologi,Sains,Teknis,Remote,Introvert,Visual,FSRD
Seni Budaya,Seni,Komunikasi,Remote,Ekstrovert,Visual,FTSL
Matematika,Bisnis,Komunikasi,Lapangan,Introvert,Visual,SBM
Biologi,Bisnis,Pemecahan masalah,Kantor,Ekstrovert,Kinestetik,FTTM
Seni Budaya,Seni,Analitis,Lapangan,Introvert,Kinestetik,FTMD
Seni Budaya,Seni,Teknis,Kantor,Ekstrovert,Auditori,SBM
Seni Budaya,Teknik,Komunikasi,Kantor,Ekstrovert,Auditori,FTI
Biologi,Seni,Kreativitas,Kantor,Introvert,Kinestetik,FMIPA
Fisika,Teknik,Kreativitas,Remote,Introvert,Auditori,FTMD
Matematika,Kesehatan,Pemecahan masalah,Kantor,Ekstrovert,Kinestetik,FMIPA
Biologi,Sains,Analitis,Remote,Ekstrovert,Auditori,FTSL
Seni Budaya,Bisnis,Teknis,Kantor,Ekstrovert,Kinestetik,SITH
Seni Budaya,Bisnis,Teknis,Lapangan,Introvert,Visual,SITH
Kimia,Teknik,Kreativitas,Lapangan,Ekstrovert,Auditori,SBM
Biologi,Seni,Komunikasi,Remote,Ekstrovert,Visual,SAPPK
Matematika,Seni,Teknis,Lapangan,Ekstrovert,Kinestetik,SAPPK
Fisika,Kesehatan,Teknis,Remote,Introvert,Auditori,SAPPK
Kimia,Teknologi,Kreativitas,Remote,Introvert,Visual,FTMD
Seni Budaya,Bisnis,Kreativitas,Remote,Introvert,Visual,FTTM
Kimia,Bisnis,Pemecahan masalah,Lapangan,Introvert,Kinestetik,FTTM
Biologi,Teknik,Kreativitas,Lapangan,Ekstrovert,Visual,FSRD
Seni Budaya,Seni,Komunikasi,Kantor,Ekstrovert,Kinestetik,FITB
Matematika,Teknik,Pemecahan masalah,Lapangan,Ekstrovert,Kinestetik,FTMD
Fisika,Bisnis,Kreativitas,Kantor,Introvert,Kinestetik,FITB
Kimia,Teknologi,Kreativitas,Remote,Introvert,Kinestetik,SF
Fisika,Teknik,Pemecahan masalah,Kantor,Ekstrovert,Visual,FMIPA
Matematika,Teknologi,Analitis,Kantor,Ekstrovert,Kinestetik,FMIPA
Seni Budaya,Seni,Pemecahan masalah,Kantor,Ekstrovert,Kinestetik,SAPPK
Seni Budaya,Teknologi,Analitis,Lapangan,Introvert,Visual,FMIPA
Matematika,Teknologi,Kreativitas,Kantor,Introvert,Auditori,FTSL
Biologi,Teknologi,Komunikasi,Kantor,Ekstrovert,Auditori,SBM
Fisika,Sains,Komunikasi,Remote,Ekstrovert,Auditori,SITH
Seni Budaya,Seni,Kreativitas,Lapangan,Introvert,Visual,FTSL
Matematika,Kesehatan,Teknis,Remote,Introvert,Visual,FTTM
Fisika,Bisnis,Pemecahan masalah,Remote,Ekstrovert,Kinestetik,FTMD
Kimia,Teknologi,Kreativitas,Lapangan,Ekstrovert,Visual,FTSL
Kimia,Bisnis,Kreativitas,Lapangan,Introvert,Visual,FSRD
Fisika,Teknik,Komunikasi,Lapangan,Ekstrovert,Visual,FTI
Kimia,Teknologi,Pemecahan masalah,Lapangan,Ekstrovert,Visual,SAPPK
Fisika,Teknologi,Analitis,Kantor,Ekstrovert,Visual,FTMD
Biologi,Teknologi,Pemecahan masalah,Lapangan,Introvert,Visual,SF
Kimia,Kesehatan,Pemecahan masalah,Kantor,Ekstrovert,Kinestetik,FTSL
Fisika,Seni,Pemecahan masalah,Lapangan,Introvert,Kinestetik,FITB
Biologi,Sains,Kreativitas,Lapangan,Ekstrovert,Auditori,STEI
Matematika,Bisnis,Kreativitas,Remote,Introvert,Auditori,SAPPK
Matematika,Seni,Kreativitas,Lapangan,Introvert,Kinestetik,FITB
Seni Budaya,Teknik,Pemecahan masalah,Kantor,Introvert,Kinestetik,SITH
Matematika,Kesehatan,Pemecahan masalah,Remote,Ekstrovert,Auditori,FSRD
Fisika,Kesehatan,Pemecahan masalah,Kantor,Ekstrovert,Kinestetik,FTSL
Matematika,Teknik,Pemecahan masalah,Remote,Ekstrovert,Visual,SBM
Matematika,Sains,Teknis,Kantor,Introvert,Auditori,FMIPA
Matematika,Kesehatan,Komunikasi,Lapangan,Ekstrovert,Visual,SITH
Fisika,Sains,Kreativitas,Kantor,Introvert,Kinestetik,STEI
Biologi,Teknik,Komunikasi,Kantor,Introvert,Visual,FTTM
Biologi,Kesehatan,Kreativitas,Remote,Ekstrovert,Visual,FTTM
Matematika,Sains,Komunikasi,Kantor,Ekstrovert,Visual,FMIPA
Kimia,Teknik,Komunikasi,Lapangan,Introvert,Kinestetik,SAPPK
Seni Budaya,Teknik,Analitis,Lapangan,Ekstrovert,Visual,SITH
Fisika,Kesehatan,Analitis,Lapangan,Introvert,Auditori,FTTM
Biologi,Bisnis,Komunikasi,Kantor,Introvert,Visual,FITB
Fisika,Kesehatan,Teknis,Kantor,Ekstrovert,Visual,SITH
Matematika,Sains,Kreativitas,Lapangan,Ekstrovert,Kinestetik,STEI
Kimia,Kesehatan,Analitis,Remote,Ekstrovert,Kinestetik,FITB
Kimia,Sains,Teknis,Kantor,Introvert,Auditori,FTMD
Kimia,Seni,Pemecahan masalah,Lapangan,Introvert,Auditori,SITH
Kimia,Seni,Analitis,Remote,Introvert,Visual,SF
Matematika,Teknik,Pemecahan masalah,Kantor,Ekstrovert,Kinestetik,FITB
Biologi,Kesehatan,Teknis,Lapangan,Ekstrovert,Kinestetik,SITH
Matematika,Seni,Komunikasi,Remote,Introvert,Kinestetik,FTI
Kimia,Teknik,Pemecahan masalah,Lapangan,Introvert,Visual,FMIPA
Biologi,Seni,Komunikasi,Remote,Ekstrovert,Kinestetik,FMIPA
Fisika,Teknik,Teknis,Lapangan,Introvert,Visual,STEI
Kimia,Kesehatan,Kreativitas,Lapangan,Ekstrovert,Kinestetik,FITB
Fisika,Bisnis,Kreativitas,Lapangan,Introvert,Visual,FMIPA
Biologi,Teknologi,Komunikasi,Remote,Ekstrovert,Auditori,SITH
Matematika,Kesehatan,Pemecahan masalah,Kantor,Introvert,Kinestetik,STEI
Kimia,Teknik,Komunikasi,Remote,Introvert,Kinestetik,SITH
Seni Budaya,Teknik,Kreativitas,Remote,Introvert,Visual,SITH
Fisika,Sains,Analitis,Lapangan,Introvert,Kinestetik,SF
Biologi,Seni,Pemecahan masalah,Kantor,Introvert,Auditori,SF
Kimia,Seni,Analitis,Kantor,Introvert,Kinestetik,FMIPA
Matematika,Kesehatan,Komunikasi,Lapangan,Introvert,Kinestetik,STEI
Fisika,Seni,Analitis,Lapangan,Introvert,Auditori,FITB
Seni Budaya,Kesehatan,Teknis,Kantor,Ekstrovert,Kinestetik,SAPPK
Kimia,Sains,Teknis,Kantor,Ekstrovert,Auditori,STEI
Kimia,Seni,Kreativitas,Kantor,Ekstrovert,Auditori,FTI
Matematika,Bisnis,Pemecahan masalah,Kantor,Introvert,Auditori,SITH
Seni Budaya,Teknik,Analitis,Kantor,Introvert,Kinestetik,STEI
Matematika,Sains,Analitis,Remote,Introvert,Kinestetik,STEI
Fisika,Bisnis,Komunikasi,Kantor,Introvert,Auditori,SBM
Biologi,Teknologi,Teknis,Kantor,Introvert,Auditori,STEI
Biologi,Teknologi,Pemecahan masalah,Lapangan,Ekstrovert,Visual,SAPPK
Matematika,Kesehatan,Pemecahan masalah,Kantor,Ekstrovert,Visual,FTMD
Seni Budaya,Sains,Teknis,Remote,Introvert,Kinestetik,SAPPK
Fisika,Sains,Analitis,Remote,Ekstrovert,Visual,SF
Fisika,Teknik,Pemecahan masalah,Kantor,Introvert,Kinestetik,SAPPK
Seni Budaya,Sains,Analitis,Kantor,Introvert,Visual,SBM
Fisika,Seni,Pemecahan masalah,Kantor,Ekstrovert,Auditori,FSRD
Fisika,Sains,Analitis,Lapangan,Introvert,Kinestetik,FTSL
Biologi,Teknik,Komunikasi,Lapangan,Ekstrovert,Auditori,SF
Kimia,Kesehatan,Kreativitas,Lapangan,Ekstrovert,Visual,STEI
Kimia,Teknik,Komunikasi,Lapangan,Ekstrovert,Visual,FTMD
Fisika,Seni,Kreativitas,Remote,Ekstrovert,Auditori,SF
Fisika,Sains,Komunikasi,Remote,Introvert,Auditori,FTSL
Biologi,Seni,Kreativitas,Kantor,Introvert,Auditori,FITB
Fisika,Teknologi,Pemecahan masalah,Lapangan,Introvert,Auditori,FTI
Matematika,Bisnis,Kreativitas,Remote,Ekstrovert,Auditori,FTI
Biologi,Sains,Kreativitas,Remote,Ekstrovert,Kinestetik,FTMD
Seni Budaya,Teknologi,Kreativitas,Remote,Introvert,Kinestetik,FTSL
Fisika,Teknologi,Teknis,Kantor,Introvert,Visual,SBM
Matematika,Teknologi,Kreativitas,Kantor,Ekstrovert,Visual,FTSL
Seni Budaya,Teknologi,Kreativitas,Remote,Introvert,Auditori,SF
Matematika,Bisnis,Teknis,Lapangan,Introvert,Auditori,STEI
Kimia,Bisnis,Kreativitas,Kantor,Introvert,Kinestetik,FMIPA
Fisika,Seni,Kreativitas,Remote,Introvert,Kinestetik,FITB
Kimia,Sains,Teknis,Remote,Introvert,Auditori,SF
Fisika,Kesehatan,Analitis,Lapangan,Introvert,Kinestetik,FITB
Kimia,Teknik,Pemecahan masalah,Remote,Introvert,Auditori,FTI
Kimia,Bisnis,Kreativitas,Kantor,Ekstrovert,Auditori,SAPPK
Biologi,Bisnis,Kreativitas,Remote,Introvert,Auditori,FMIPA
Kimia,Kesehatan,Pemecahan masalah,Lapangan,Ekstrovert,Kinestetik,FTMD
Biologi,Teknik,Teknis,Kantor,Introvert,Visual,SF
Seni Budaya,Teknologi,Komunikasi,Remote,Introvert,Kinestetik,FITB
Fisika,Seni,Komunikasi,Lapangan,Ekstrovert,Kinestetik,STEI
Fisika,Sains,Kreativitas,Remote,Ekstrovert,Kinestetik,SAPPK
Kimia,Kesehatan,Kreativitas,Remote,Introvert,Kinestetik,FMIPA
Biologi,Sains,Kreativitas,Lapangan,Introvert,Visual,FSRD
Seni Budaya,Kesehatan,Pemecahan masalah,Lapangan,Introvert,Visual,FTMD
Kimia,Bisnis,Analitis,Remote,Introvert,Visual,SF
Kimia,Teknik,Pemecahan masalah,Remote,Introvert,Auditori,STEI
Matematika,Bisnis,Komunikasi,Remote,Introvert,Auditori,SITH
Fisika,Sains,Komunikasi,Kantor,Introvert,Auditori,SBM
Seni Budaya,Teknologi,Komunikasi,Kantor,Ekstrovert,Auditori,FSRD
Fisika,Sains,Analitis,Remote,Introvert,Kinestetik,STEI
Biologi,Kesehatan,Pemecahan masalah,Kantor,Ekstrovert,Visual,FTI
Seni Budaya,Teknik,Pemecahan masalah,Kantor,Introvert,Kinestetik,FITB
Seni Budaya,Seni,Pemecahan masalah,Kantor,Introvert,Visual,FTMD
Matematika,Seni,Analitis,Kantor,Introvert,Auditori,FSRD
Matematika,Sains,Komunikasi,Lapangan,Ekstrovert,Auditori,FTMD
Kimia,Teknologi,Analitis,Remote,Introvert,Kinestetik,FSRD
Kimia,Sains,Komunikasi,Remote,Ekstrovert,Visual,FSRD
Seni Budaya,Sains,Pemecahan masalah,Kantor,Ekstrovert,Visual,SAPPK
Seni Budaya,Teknik,Komunikasi,Remote,Ekstrovert,Auditori,FTSL
Matematika,Teknik,Komunikasi,Kantor,Ekstrovert,Kinestetik,FSRD
Kimia,Kesehatan,Komunikasi,Kantor,Introvert,Auditori,FTTM
Kimia,Teknik,Teknis,Remote,Introvert,Auditori,SITH
Biologi,Sains,Komunikasi,Lapangan,Introvert,Auditori,FTTM
Kimia,Bisnis,Kreativitas,Lapangan,Ekstrovert,Kinestetik,FITB
Biologi,Sains,Kreativitas,Kantor,Ekstrovert,Visual,STEI
Kimia,Seni,Komunikasi,Lapangan,Introvert,Kinestetik,FTTM
Kimia,Seni,Kreativitas,Remote,Ekstrovert,Visual,FMIPA
Kimia,Sains,Pemecahan masalah,Remote,Introvert,Auditori,FSRD
Seni Budaya,Teknik,Pemecahan masalah,Remote,Introvert,Auditori,FMIPA
Matematika,Bisnis,Teknis,Remote,Introvert,Visual,SBM
Kimia,Teknik,Kreativitas,Remote,Ekstrovert,Auditori,STEI
Seni Budaya,Sains,Analitis,Remote,Introvert,Kinestetik,SF
Kimia,Teknik,Komunikasi,Remote,Introvert,Kinestetik,SITH
Matematika,Bisnis,Komunikasi,Kantor,Ekstrovert,Kinestetik,FTTM
